RegionID,RegionName,SizeRank,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12
4,Alabama,23,132600,133400,133700,133800,133900,133800,133300,132400,131900,132000,132900,129600,123600,119900,119600,118700,117800,116800,116200,115700,115200,114600,114000,114300,115200,115500,115100,115000,114800,114500,114000,114600,115700,116100,115500,115400,116100,116700,116500,116600,116700,116800,116600,116400,115800,115400,115200,115300,115500,115800,115900,115900,116000,116100,116200,116100,116000,115900,116100,116700,117300,117600,117600,117500,117400,117400,117600,117600,117300,117200,117400,117600,117900,118100,118300,118600,118800,119100,119500,119600,119700,119800,119800,120100,120600,120900,121000,121300,121500,121600,121800,121800,121900,122100,122400,123000,123800,124300,124600,124900,125300,125400,125500,125800,126200,126600,127100,127700
3,Alaska,46,265300,263700,261200,258600,256000,253700,251900,252100,254100,256000,257600,254300,247200,243400,243800,243200,243100,243300,243300,242900,242200,241400,240800,241100,242100,242800,242500,242200,241900,241500,241200,240900,240600,240300,239900,240100,241000,241300,240900,240800,241000,241500,242100,242400,242700,242900,243000,243600,244900,246000,246400,246700,247000,247500,248100,248500,248700,248700,248700,249100,249800,250400,250800,251600,252300,252800,253400,254000,254200,254200,254200,254700,255700,256400,256800,257600,258300,258700,259000,259500,259800,260200,260900,262000,263300,264200,264800,265700,266300,266100,265800,265700,265400,265300,265700,266200,266800,267200,267100,266800,267400,268500,268900,269100,269800,270700,271500,272600
8,Arizona,16,195600,193300,190700,187900,185200,182200,179100,176200,173400,170600,168200,165000,161400,158900,157900,156600,155400,154200,152700,150600,148200,146400,144900,143600,142400,141200,140100,138700,136800,134900,133400,132500,132200,132200,132400,133400,134800,136400,137800,139600,141900,144600,147300,149800,151800,153300,154800,156500,158200,160100,162100,164100,166200,168600,171200,173400,175300,177000,178500,180000,181400,182000,182200,182700,183300,183600,183600,183900,184700,185600,186400,187500,188600,189500,190500,191700,192700,193500,194600,196100,197600,198800,200000,201300,202500,203600,204900,206100,207300,208900,210300,211500,212800,214400,216000,217700,218900,219800,220800,221700,223000,224600,225900,227100,228700,230600,231800,232600
6,Arkansas,31,105000,105000,105200,105300,105300,105300,105400,105600,105800,105800,105700,105600,105700,105700,105500,105700,105800,105600,105400,105100,104700,104500,104500,104600,104700,104900,104800,104300,104000,103800,103400,103000,103000,102900,102900,103000,103000,103000,103300,103600,103700,103900,104200,104500,104900,105300,105400,105600,105800,106100,106300,106600,106800,107100,107200,107400,107600,107600,107600,107600,107600,107700,108000,108200,108200,108300,108500,108700,108600,108700,108600,108500,108400,108500,108600,108800,109200,109900,110400,110800,111100,111400,111700,112000,112100,111900,111900,112000,112300,112400,112600,113000,113500,114000,114600,115200,116000,116900,117800,118500,119300,120200,120700,121100,121400,121700,122200,122700
9,California,1,371400,366100,360700,354800,348400,342900,339200,336700,334600,333100,331500,332500,335000,336500,336300,336600,336500,335700,334300,332600,330800,329000,327400,325600,323700,321900,320000,317600,315600,313800,311500,309100,307500,306300,305300,304400,304100,304200,304900,306100,308000,310400,313000,316000,318700,321400,325000,329100,333000,337400,343400,350600,358200,366000,373200,379500,384600,388900,392500,395200,397400,399900,402900,405900,408600,411100,413300,415400,417600,419600,421100,422600,424100,426000,428500,431300,434100,436800,439500,442300,444700,447000,449400,451500,453400,455700,458700,461600,463800,466800,470100,473000,475600,479000,482300,485000,487600,490500,494100,498100,502300,505900,508800,511900,515300,518900,522900,527000
10,Colorado,22,216900,216200,215600,214500,213100,211900,211200,211200,211200,211300,210700,212300,215600,217300,216800,216500,215700,214800,214100,213600,213100,212600,212000,211300,210200,209400,209200,208800,208400,208100,207700,207200,206900,206800,206500,206500,206800,207300,207900,209100,210600,211900,212700,213800,215200,216300,217400,218500,219300,220300,221900,223500,225600,227600,229500,230900,232000,233000,234400,235200,235900,236900,238600,240400,242100,244000,246000,248100,250000,252200,254700,257000,258900,261500,264500,267700,271000,274300,277400,280300,283200,286000,288700,291100,293000,295000,297700,300600,303100,305500,308000,310800,313800,316500,319100,321400,323300,325100,327200,329700,332600,335400,337600,339500,341300,343000,345000,347300
11,Connecticut,28,265900,264700,263600,261900,259800,257800,256600,256000,255700,255500,254700,255500,257300,257200,255500,254900,254100,252800,251600,250500,249400,247800,246000,244400,243600,243200,242500,241000,240300,240500,240200,239100,237400,235800,234700,233700,232500,231700,231200,230900,230300,229900,229900,230000,229900,230200,231000,231800,232300,232600,233300,234000,234500,234800,235300,236100,236600,237100,237800,237800,237600,237800,238000,238200,239200,239800,239700,239000,238700,238300,238000,237500,237100,236800,236900,237000,237500,237900,238100,238100,238000,237700,237400,237500,237300,237100,237500,238300,239000,239300,239400,239800,240600,241400,241800,242000,242100,242300,242800,243500,244000,244000,243900,244000,244800,245700,245900,246000
13,Delaware,44,222100,222800,222600,222300,221700,221400,221500,221500,221200,221100,221700,218300,211900,208100,208500,208800,208500,207300,205500,203700,201000,199000,198200,198700,199000,198700,197200,195600,194100,192800,191500,190200,189200,188100,187000,186400,186400,186500,186200,185700,185300,185100,185000,185600,186900,187600,187000,186700,187200,187400,187900,188900,189900,190800,191600,191700,191400,191000,190800,191300,192500,193700,193800,194100,195300,196600,197200,197700,198300,199000,199100,199000,199000,199600,200200,200800,201300,202100,203100,203900,204700,205900,206600,206400,206400,206600,206900,207500,208900,210500,211600,212400,213300,214100,214600,215000,215900,217800,221100,225200,228100,229200,229800,231600,234700,238100,244900,254900
12,District of Columbia,49,358900,357300,355400,352500,349700,347900,347100,346400,345100,344400,343400,347300,354600,358700,359600,362500,365000,365600,365200,364500,363900,362600,363700,364200,361100,357000,357400,359100,359300,358200,357100,356300,356800,358400,360000,361700,363600,365600,366300,366700,367600,369600,372800,377300,381400,384300,386000,387700,390000,392900,395800,398900,403600,408700,412800,416800,422000,427500,431700,434000,436500,439700,443000,445800,448400,451400,454800,458000,460200,462100,463700,463900,464000,467000,472900,480400,488500,495800,500800,503000,504000,505500,507000,507600,506300,504600,504400,505500,507800,511400,515300,519400,523700,527500,531300,535500,542600,550500,553500,549600,544600,542400,542700,543400,543500,544300,546200,548900
14,Florida,4,170200,167400,164500,161500,158500,155700,153300,151400,149800,148600,147200,146300,145800,144900,143500,142300,141100,140000,139000,137800,136200,134600,133500,132400,131300,130400,130000,129300,128600,128000,127300,126500,125900,125400,124800,124700,125100,125600,126200,127000,128000,129000,129600,130300,131300,132200,133100,134000,135100,136300,137900,139500,141000,142600,144400,146300,147900,149500,151100,152400,153400,154400,155500,156600,157700,158600,159400,160400,161500,162500,163500,164700,165600,166600,168100,169700,171200,172800,174400,176000,177400,178800,180100,181600,182900,184200,185400,186800,188300,190300,192400,193900,195300,197300,199300,201100,202600,203600,204500,205700,207200,208800,210200,211600,213300,215100,216500,217600
16,Georgia,9,144700,143800,142900,141800,140500,139400,138600,137700,136800,136200,135700,135400,135100,134600,133900,133400,133000,132000,130800,129600,128100,126600,125200,123900,122600,121400,120200,119200,118200,117500,116800,116100,115400,114600,113900,113200,112900,112600,112400,112500,112700,112900,113100,113600,114200,114900,115400,116000,116700,117400,118100,118800,119600,120500,121500,122400,123400,124100,124700,125400,126000,126500,127200,127900,128600,129200,129600,130000,130400,130900,131500,132100,132700,133700,134800,135600,136600,137800,138700,139600,140500,141300,142300,143100,143700,144200,144800,145700,146600,147300,147700,148300,149200,150100,150900,151900,152700,153300,153900,154600,155400,156400,157400,158500,159700,160700,161300,161900
18,Hawaii,39,481500,477800,473300,468600,463800,459300,455100,451700,449500,447800,446600,443900,440700,438600,438800,439000,439700,440000,438800,436400,434400,433100,432600,433100,433100,431700,430000,429000,427700,425200,423400,422900,422400,421500,421100,421000,421600,423600,426500,428600,430100,432100,434300,436100,437600,438600,439200,440700,443200,445800,448000,450700,454500,459500,464500,469600,474600,479300,483700,487300,490400,492600,493700,494500,495400,498000,503100,508500,512300,515500,517700,520200,523100,525700,527800,531100,534300,536500,538700,541500,543900,546200,548900,552600,556000,557700,558000,558900,561700,566200,569400,570800,572800,576500,580800,583500,585300,589900,598600,606400,609900,609500,608000,607900,610700,614000,618100,621700
